config	ppl	status	wallclock_s	tag
f16+f16	7.2044	ok	6	baseline-f16
ktq2_1+vtq2_1	7.4816	ok	6	legacy-3.0bpw
ktq2_1+vtq2_2	7.1807	ok	6	legacy-2.78bpw-prod
ktq2+vtq2	7.1807	ok	7	v8-default-3.0bpw
ktq2+vtq3	7.2024	ok	69	v8-quality-3.56bpw
ktq3+vtq3	7.2024	ok	69	v8-research-4.06bpw
ktq2+vtq4	7.2635	ok	6	v8-vtq4lossless-4.0bpw
ktq2_1+vtq3_1	7.2178	ok	6	legacy-3.75bpw
ktq2_1+vtq3_3	7.1533	ok	7	legacy-vtq3_3-3.78bpw
ktq2_1+vtq4_1	7.2635	ok	6	legacy-4.0bpw
