config	bpw	pp512	tg128	tag
ktq2_1+vtq2_1	3.0	1111.59	85.80	legacy-current-prod
ktq2+vtq2	2.78	1195.31	86.37	v8-default-VRAM-tier
ktq2+vtq3	3.56	1190.57	86.50	v8-quality-tier
ktq2_1+vtq3_3	3.78	1188.31	86.38	legacy-vtq3_3-best-PPL
